l_id,r_id
a501,b3450
a528,b4862
a734,b1474
a1146,b3282
a145,b2541
a337,b824
a371,b1123
a428,b2716
a470,b4645
a519,b2296
a537,b4285
a549,b3197
a593,b3491
a652,b726
a722,b1999
a752,b11
a778,b850
a811,b2130
a892,b2105
a1201,b15
a1296,b394
a146,b1677
a155,b2279
a168,b1515
a452,b3548
a466,b4257
a480,b662
a489,b774
a632,b5003
a677,b104
a822,b1101
a860,b2096
a1041,b5089
a1086,b3200
a1375,b3599
a149,b3594
a493,b3345
a530,b398
a585,b5190
a648,b3958
a150,b941
a182,b5235
a223,b4129
a313,b2643
a403,b3297
a429,b3674
a474,b3693
a542,b2995
a639,b1257
a650,b492
a701,b197
a735,b4327
a765,b2554
a937,b1470
a1096,b309
a1181,b5062
a1246,b1210
a1741,b1369
a154,b3181
a174,b145
a194,b3883
a206,b3250
a238,b5275
a254,b3607
a367,b5297
a421,b705
a455,b3031
a510,b1980
a511,b264
a540,b5026
a612,b1320
a651,b3342
a775,b167
a831,b2884
a997,b5182
a1107,b4867
a1317,b1057
a158,b1674
a320,b5319
a492,b1431
a659,b2978
a679,b3925
a780,b4340
a934,b3289
a957,b1023
a962,b3246
a2087,b3446
a166,b2198
a644,b2681
a685,b4892
a1055,b797
a1413,b3260
a178,b3993
a192,b1937
a214,b579
a266,b1288
a476,b2807
a541,b5380
a726,b5000
a755,b868
a793,b308
a956,b2789
a963,b2409
a1133,b2783
a185,b3080
a370,b1861
a525,b2002
a548,b5223
a637,b3016
a725,b368
a742,b1490
a768,b429
a1058,b4000
a1293,b4800
a196,b502
a626,b3793
a730,b2156
a802,b5259
a849,b953
a1011,b1396
a1260,b965
a1385,b4001
a201,b2983
a783,b1574
a865,b533
a940,b2782
a989,b3640
a1157,b3537
a1240,b2516
a205,b1391
a420,b2070
a561,b2837
a840,b4837
a959,b3128
a1010,b3884
a1453,b1423
a212,b3875
a360,b2373
a364,b4478
a545,b4696
a631,b3176
a1136,b2134
a219,b825
a305,b3539
a469,b2703
a556,b1824
a669,b4824
a681,b4353
a748,b900
a967,b687
a976,b3358
a1232,b489
a233,b5413
a345,b899
a477,b815
a614,b2637
a926,b4276
a1093,b2025
a1617,b4048
a244,b2890
a538,b3001
a1152,b4702
a262,b4106
a284,b4966
a1002,b2285
a1039,b4641
a263,b5363
a282,b1889
a303,b3863
a336,b855
a341,b4382
a376,b5341
a576,b3910
a619,b4849
a628,b2946
a665,b3586
a719,b1131
a853,b5076
a883,b4294
a1187,b1259
a1495,b3034
a294,b1952
a335,b4012
a550,b4228
a570,b1202
a595,b534
a630,b4557
a645,b4378
a687,b3334
a706,b5263
a727,b4654
a821,b2212
a846,b371
a891,b658
a895,b1566
a1087,b2384
a1245,b4377
a1314,b1163
a2219,b4620
a408,b4401
a862,b503
a921,b5257
a2691,b4887
a412,b1841
a427,b4384
a617,b4329
a664,b3666
a791,b2626
a841,b3371
a1122,b67
a1170,b2060
a1268,b2298
a416,b3732
a813,b5031
a729,b3002
a745,b3227
a747,b2242
a1130,b2313
a1168,b1603
a1200,b4903
a436,b4023
a604,b4567
a838,b5061
a1134,b14
a1154,b1874
a1217,b1597
a1261,b4192
a1566,b1421
a479,b881
a737,b1216
a952,b4093
a1063,b2028
a1308,b1834
a554,b1609
a1427,b4915
a563,b3367
a1027,b4665
a567,b1786
a618,b5372
a906,b430
a582,b3837
a832,b4485
a857,b2453
a859,b2605
a1075,b1380
a1088,b2051
a1094,b5132
a607,b2976
a683,b993
a898,b2223
a615,b1628
a851,b5454
a917,b869
a996,b1386
a1500,b4362
a660,b1067
a684,b3992
a753,b844
a945,b1347
a977,b3091
a1001,b1398
a1272,b3791
a843,b2421
a691,b689
a910,b2901
a946,b4083
a1003,b5326
a1199,b4779
a879,b4169
a897,b1529
a1050,b3532
a721,b3686
a743,b999
a1377,b3835
a1474,b5087
a751,b4124
a1148,b3247
a1176,b4307
a914,b4411
a951,b3123
a1160,b1246
a1210,b2178
a807,b1669
a1103,b4097
a1350,b5081
a856,b4423
a863,b1583
a875,b3568
a1048,b1955
a1076,b3585
a1227,b1532
a1269,b1234
a1090,b3584
a1191,b773
a1324,b2756
a1486,b4437
a1145,b2987
a1923,b1715
a1186,b1114
a1229,b4173
a1435,b3743
a1235,b4910
a1305,b571
a1976,b5008
