title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
Fire with Fire,Bruce Willis;Josh Duhamel;Rosario Dawson;Vincent D'Onofrio;50 Cent,David Barrett,Lowell Cauffiel;Tom O'Connor,Action;Crime;Drama;Thriller,firemen;witness protection;murder;u.s. marshal,R,97,2012,English,56.0,$20000000.00,$4636169.00,,,,
Changing Lanes,Ben Affleck;Samuel L. Jackson;Kim Staunton;Toni Collette;Sydney Pollack,Roger Michell,Chap Taylor;Michael Tolkin,Action;Adventure;Crime;Thriller,new york;custody battle;suspense;lawyer,R,89,2002,English,59.0,$45000000.00,$94935764.00,,,,
Rear Window,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter;Raymond Burr,Alfred Hitchcock,Cornell Woolrich;John Michael Hayes,Drama;Mystery;Thriller,nurse;photographer;suspicion of murder;girlfriend;neighbor;salesman;apartment;convalescence;voyeurism;homebound,not available,112,1954,English,82.0,$1000000.00,$36764313.00,,,,
Best in Show,Jay Brazeau;Parker Posey;Michael Hitchcock;Catherine O'Hara;Eugene Levy,Christopher Guest,Christopher Guest;Eugene Levy,Comedy,illinois;pet shop;poodle;independent film;mockumentary;terrier;kimono,PG-13,90,2000,English,68.0,-,-,,,,
Sicario,Emily Blunt;Benicio del Toro;Josh Brolin;Victor Garber;Jon Bernthal,Denis Villeneuve,Taylor Sheridan,Action;Crime;Drama;Mystery;Thriller,mexico;cia;smoking;texas;fbi;murder;dirty cop;soccer;drug;fbi agent;night vision;death of daughter;tunnel;el paso;moral dilemma;death of wife;mexican cartel,R,121,2015,English,72.0,$30000000.00,$84025816.00,,,,
The Fourth Kind,Milla Jovovich;Will Patton;Hakeem Kae-Kazim;Corey Johnson;Enzo Cilenti,Olatunde Osunsanmi,Olatunde Osunsanmi,Mystery;Science Fiction;Thriller,sibling relationship;wheelchair;hypnosis;investigation;cover-up;ufo;alaska;disappearance;hospital;alien abduction;patient;psychotherapy;fake documentary;based on supposedly true story;nome alaska;faked footage;audio cassette;ancient astronaut;anchorage alaska;police fake;duringcreditsstinger,PG-13,98,2009,English,58.0,$10000000.00,$42333295.00,,,,
Table 19,Anna Kendrick;Craig Robinson;June Squibb;Lisa Kudrow;Stephen Merchant,Jeffrey Blitz,Mark Duplass;Jay Duplass,Comedy;Drama,misfit;wedding reception;wedding;rebound;dumped by boyfriend;wedding guest,PG-13,87,2017,English,61.0,$5000000.00,$5042014.00,,,,
The Thing,Kurt Russell;Keith David;Wilford Brimley;Donald Moffat;Richard Dysart,John Carpenter,John W. Campbell Jr.;Bill Lancaster,Horror;Mystery;Science Fiction,ice;space marine;paranoia;snow storm;norwegian;research station;alien life-form;remake;alien;antarctica;shape shifting alien;cult film;sled dogs,R,109,1982,English,78.0,$15000000.00,$19629760.00,,,,
The Final Girls,Taissa Farmiga;Malin Åkerman;Nina Dobrev;Alexander Ludwig;Alia Shawkat,Todd Strauss-Schulson,M.A. Fortin;Joshua John Miller,Comedy;Horror,parent child relationship;virgin;summer camp;film in film;murder;serial killer;camp;spoof;horror spoof;car accident;strip tease;camp counselor;accident;1980s,PG-13,91,2015,English,66.0,-,-,,,,
Scooby-Doo 2: Monsters Unleashed,Freddie Prinze Jr.;Sarah Michelle Gellar;Matthew Lillard;Linda Cardellini;Seth Green,Raja Gosnell,James Gunn,Mystery;Fantasy;Adventure;Comedy,detective;monster;engine;based on tv series;dog,PG,93,2004,English,54.0,-,$181466833.00,,,,
