title,cast,directors,writers,genres,keywords,content_rating,run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
"I Love You, Beth Cooper",Hayden Panettiere;Paul Rust;Lauren London;Lauren Storm;Jack Carpenter,Chris Columbus,Larry Doyle;Larry Doyle,Comedy;Romance,virgin;cheerleader;graduation;high school;aspen;friends;in the closet;teenager;popularity;based on young adult novel;popular girl,PG-13,102,2009,English,52.0,$18000000.00,$15345201.00,,,,
Australia,Nicole Kidman;Hugh Jackman;Essie Davis;David Wenham;Bryan Brown,Baz Luhrmann,Baz Luhrmann;Baz Luhrmann;Ronald Harwood;Richard Flanagan;Stuart Beattie,Adventure;Drama;Romance,missionary;world war ii;ranch;australia;british;racist;cattle drive;prejudice;aftercreditsstinger;stampede;waltzing matilda;trampled to death,PG-13,165,2008,English,64.0,$130000000.00,$49554002.00,,,,
Unforgettable,Rosario Dawson;Katherine Heigl;Geoff Stults;Isabella Kai Rice;Cheryl Ladd,Denise Di Novi,Christina Hodson;David Leslie Johnson,Drama;Thriller,ex husband;woman director,R,100,2017,English,56.0,$12000000.00,$17768012.00,,,,
American History X,Edward Norton;Edward Furlong;Beverly D'Angelo;Avery Brooks;Jennifer Lien,Tony Kaye,David McKenna;David McKenna,Drama,usa;neo-nazi;prison;skinhead;sibling relationship;rape;fascism;brother;basketball;jail;school;swastika;los angeles;family;hate;neo nazism;xenophobia;interracial friendship;nazism;prison rape;película de culto,R,119,1998,English,82.0,$20000000.00,$23875127.00,,,,
Wristcutters: A Love Story,Patrick Fugit;Shannyn Sossamon;Shea Whigham;Leslie Bibb;Will Arnett,Goran Dukic,Goran Dukic;Etgar Keret,Comedy;Drama;Fantasy;Romance,independent film;break-up;ex-boyfriend ex-girlfriend relationship;rolling a cigarette;autocide;record player;hypodermic needle;missing pet;head in oven;grocery store;arm in cast;gun in mouth;toast;listening to music,R,88,2006,English,67.0,-,-,,,,
Nell,Jodie Foster;Liam Neeson;Natasha Richardson;Richard Libertini;Robin Mullins,Michael Apted,Mark Handley;William Nicholson,Drama;Thriller,loss of loved one;twin sister;autism;lake;kaspar-hauser-syndrom;feral child;forest;north carolina;psychologist;family,PG-13,112,1994,English,63.0,$31000000.00,$106683817.00,,,,
Unlocked,Noomi Rapace;Orlando Bloom;Michael Douglas;Toni Collette;John Malkovich,Michael Apted,Peter O'Brien,Action;Thriller,cia;biohazard;mi5;bio terrorism;terrorism threat,R,98,2017,English,62.0,-,-,,,,
The Sting,Paul Newman;Robert Redford;Robert Shaw;Charles Durning;Ray Walston,George Roy Hill,David S. Ward,Comedy;Crime;Drama,chicago;bet;horse race;repayment;con man;mafia boss;caper;violence;ragtime;off track betting;sting operation;alley;1930s;20th century,PG,129,1973,English,79.0,$5500000.00,$159616327.00,,,,
The Purge: Election Year,Elizabeth Mitchell;Frank Grillo;Mykelti Williamson;Edwin Hodge;Raymond J. Barry,James DeMonaco,James DeMonaco,Action;Horror;Thriller,dystopia;sequel;legalized murder,R,105,2016,English,61.0,$10000000.00,$118587880.00,,,,
Scott Pilgrim vs. the World,Michael Cera;Mary Elizabeth Winstead;Kieran Culkin;Chris Evans;Anna Kendrick,Edgar Wright,Edgar Wright;Bryan Lee O'Malley;Michael Bacall,Action;Adventure;Comedy,canada;toronto;based on graphic novel;whipping;hipster;underage girlfriend;animated flashback;unconsciousness;girl fight;vegan;aftercreditsstinger,PG-13,112,2010,English,72.0,$60000000.00,$47664559.00,,,,
Yogi Bear,Dan Aykroyd;Justin Timberlake;Anna Faris;Tom Cavanagh;Christine Taylor,Eric Brevig,Joshua Sternin,Comedy;Family;Animation;Adventure,picnic;sandwich;bear;3d;yogi,PG,80,2010,English,51.0,$80000000.00,$201584141.00,,,,
The Twilight Saga: New Moon,Kristen Stewart;Robert Pattinson;Taylor Lautner;Billy Burke;Ashley Greene,Chris Weitz,Stephenie Meyer;Melissa Rosenberg,Adventure;Fantasy;Drama;Romance,moon;cinema;vampire;werewolf,PG-13,130,2009,English,56.0,$50000000.00,$709827462.00,,,,
The Hunger Games: Catching Fire,Jennifer Lawrence;Josh Hutcherson;Liam Hemsworth;Woody Harrelson;Elizabeth Banks,Francis Lawrence,Suzanne Collins;Simon Beaufoy;Michael Arndt,Adventure;Action;Science Fiction,competition;based on novel;mentor;secret;factory;television;propaganda;future;dystopia;alliance;games;president;uprising;sequel;murder;survival;conspiracy;rebellion;blood;female protagonist;tournament;explosion;danger;imax;winner;based on young adult novel,PG-13,146,2013,English,74.0,$130000000.00,$847423452.00,,,,
Saw II,Tobin Bell;Shawnee Smith;Donnie Wahlberg;Franky G;Glenn Plummer,Darren Lynn Bousman,Darren Lynn Bousman;Leigh Whannell,Horror,riddle;serial killer,R,89,2005,English,64.0,$4000000.00,$152925093.00,,,,
Love the Coopers,Steve Martin;Diane Keaton;John Goodman;Alan Arkin;Ed Helms,Jessie Nelson,Steven Rogers,Comedy;Family,big family;family relationships;family;woman director;christmas,PG-13,107,2015,English,56.0,$17000000.00,$42426912.00,,,,
Hard Boiled,Chow Yun-fat;Tony Leung Chiu-Wai;Anthony Wong;Teresa Mo;Philip Chan Yan-Kin,John Woo,John Woo;Gordon Chan;Barry Wong,Action;Thriller;Crime,smuggling of arms;inspector;arms dealer;hong kong;drug,R,126,1992,Cantonese,75.0,$4500000.00,-,,,,
20th Century Women,Annette Bening;Elle Fanning;Greta Gerwig;Lucas Jade Zumann;Billy Crudup,Mike Mills,Mike Mills,Drama,parent child relationship;1970s;balcony;feminism;feminist;single mother;punk music;generation gap;santa barbara california,not available,119,2016,English,74.0,$7000000.00,$5664764.00,,,,
Project X,Oliver Cooper;Jonathan Daniel Brown;Thomas Mann;Dax Flame;Kirby Bliss Blanton,Nima Nourizadeh,Michael Bacall;Michael Bacall;Matt Drake,Comedy;Crime,vandalism;high school;swimming pool;party;teen movie;teenager;dog;high school student;fake documentary;sex doll;lime;underwater photography;bouncy castle;flash grenade,R,88,2012,English,64.0,$12000000.00,$100000000.00,,,,
Sky High,Michael Angarano;Kurt Russell;Kelly Preston;Danielle Panabaker;Kevin Heffernan,Mike Mitchell,Paul Hernandez;Bob Schooley;Mark McCorkle,Adventure;Comedy;Family,loyalty;mockery;supernatural powers;friendship;high school;superhero;mission;good vs evil;heroism;super power;friend,PG,100,2005,English,59.0,$35000000.00,$86369815.00,,,,
Vampire Academy,Zoey Deutch;Lucy Fry;Danila Kozlovsky;Dominic Sherwood;Olga Kurylenko,Mark Waters,Richelle Mead;Daniel Waters,Comedy;Action;Fantasy,narration;vampire;half vampire;danger of life;royal family;friendship;superhuman;guardian;super power;based on young adult novel,PG-13,104,2014,English,58.0,-,-,,,,
Crimson Peak,Mia Wasikowska;Jessica Chastain;Tom Hiddleston;Charlie Hunnam;Jim Beaver,Guillermo del Toro,Guillermo del Toro;Matthew Robbins,Drama;Fantasy;Horror;Mystery;Romance;Thriller,haunted house;mining;murder;blood;gothic;ghost,not available,119,2015,English,64.0,$55000000.00,$74679822.00,,,,
The Best Years of Our Lives,Fredric March;Myrna Loy;Dana Andrews;Harold Russell;Teresa Wright,William Wyler,MacKinlay Kantor;Robert E. Sherwood,Drama;History;Romance,usa;post traumatic stress  disorder;war veteran;world war ii;rehabilitation;bodily disabled person,not available,172,1946,English,76.0,$2100000.00,$23650000.00,,,,
Mediterraneo,Diego Abatantuono;Claudio Bigagli;Giuseppe Cederna;Ugo Conti;Claudio Bisio,Gabriele Salvatores,Enzo Monteleone,Comedy;Romance;War,world war ii;island;army;greek island;italian army,not available,96,1991,Italian,75.0,-,$4532791.00,,,,
Fading Gigolo,John Turturro;Woody Allen;Vanessa Paradis;Liev Schreiber;Sharon Stone,John Turturro,John Turturro,Comedy,gigolo;friendship;sexual fantasy;jewish;new york city;money problems;fling,R,90,2013,English,58.0,-,$2681345.00,,,,
Kung Fu Panda,Jack Black;Dustin Hoffman;Angelina Jolie;Jackie Chan;Lucy Liu,John Stevenson;Mark Osborne,Jonathan Aibel;Glenn Berger,Adventure;Animation;Family;Comedy,china;martial arts;kung fu;mentor;snake;restaurant;shop;strong woman;bravery;tiger;turtle;panda;sensei;anthropomorphism;fighting;ancient china;monkey;master;destiny;evil;aftercreditsstinger;monkey warrior;noodle,PG,90,2008,English,70.0,$130000000.00,$631744560.00,,,,
Cinderella,Ilene Woods;Eleanor Audley;Lucille Bliss;Verna Felton;Helene Stanley,Clyde Geronimi;Wilfred Jackson;Hamilton Luske,Erdman Penner;Winston Hibler;Harry Reeves;Homer Brightman;Ken Anderson;Bill Peed;Charles Perrault;Joe Rinaldi;Ted Sears,Family;Fantasy;Animation;Romance,loss of loved one;based on novel;cinderella;mouse;ball;fairy;prince;musical;midnight;princess;love;orphan;family;evil stepmother;fairy godmother;glass slipper,G,74,1950,English,68.0,$2900000.00,$263591415.00,,,,
Crash,James Spader;Deborah Kara Unger;Holly Hunter;Elias Koteas;Rosanna Arquette,David Cronenberg,David Cronenberg;J.G. Ballard,Drama;Thriller;Romance,gay;sexual obsession;adultery;sadistic;sexuality;wife husband relationship;eroticism;car journey;simulation;dead wish;fetish;wound;fetishism;masochism;deceived husband;dying and death;pain;james dean;sadism;marriage crisis;cult;car accident,NC-17,100,1996,English,64.0,$10000000.00,-,,,,
Anonymous,Jamie Campbell Bower;Rhys Ifans;David Thewlis;Joely Richardson;Vanessa Redgrave,Roland Emmerich,John Orloff,Drama;History;Thriller,shakespeare;anonymity;poet;politics;play;duringcreditsstinger;false history;secrecy,PG-13,130,2011,English,63.0,$30000000.00,$15395087.00,,,,
"Honey, I Shrunk the Kids",Rick Moranis;Marcia Strassman;Matt Frewer;Kristine Sutherland;Amy O'Neill,Joe Johnston,Ed Naha;Tom Schulman,Adventure;Comedy;Family;Science Fiction,inventor;ant;shrinking;riesen insekten;biene;neighbor,PG,93,1989,English,61.0,$18000000.00,$222724172.00,,,,
In the Line of Fire,Clint Eastwood;Rene Russo;John Malkovich;Dylan McDermott;Gary Cole,Wolfgang Petersen,Jeff Maguire,Action;Drama;Thriller;Crime;Mystery,cia;assassin;running;white house;usa president;bodyguard;stalking;election;apartment;secret service;secret service agent,R,128,1993,English,68.0,$40000000.00,$176997168.00,,,,
The Wing or the Thigh,Louis de Funès;Coluche;Claude Gensac;Ann Zacharias;Julien Guiomar,Claude Zidi,Claude Zidi;Michel Fabre,Comedy,circus;double life;restaurant;fast food restaurant;planned murder;clown;tv station;talk show;false identity;restaurant guide;restaurant critic;todfeind;tv duel;loss of taste;kitchen;escape;torture,not available,104,1976,French,69.0,-,-,,,,
Superman,Christopher Reeve;Marlon Brando;Margot Kidder;Gene Hackman;Ned Beatty,Richard Donner,Mario Puzo;Mario Puzo;Robert Benton;Leslie Newman;David Newman;Tom Mankiewicz,Action;Adventure;Fantasy;Science Fiction,saving the world;journalist;dc comics;crime fighter;nuclear missile;galaxy;superhero;based on comic;criminal;sabotage;super power;north pole;midwest;kryptonite;superhuman strength;aftercreditsstinger;save the day,PG,143,1978,English,69.0,$55000000.00,$300218018.00,,,,
An American Haunting,Donald Sutherland;Sissy Spacek;James D'Arcy;Matthew Marsh;Gaye Brown,Courtney Solomon,Courtney Solomon;Brent Monahan,Horror;Thriller,witch;independent film;curse;suitor;family,PG-13,83,2005,English,53.0,-,-,,,,
The Legend of Tarzan,Alexander Skarsgård;Margot Robbie;Christoph Waltz;Samuel L. Jackson;Djimon Hounsou,David Yates,Adam Cozad;John Collee;Craig Brewer;Edgar Rice Burroughs;Stuart Beattie,Action;Adventure,africa;animal attack;feral child;tarzan;jungle,PG-13,109,2016,English,56.0,$180000000.00,$356743061.00,,,,
The Guns of Navarone,Gregory Peck;David Niven;Anthony Quinn;Stanley Baker;Anthony Quayle,J. Lee Thompson,Alistair MacLean;Carl Foreman,Action;Adventure;Drama;War,based on novel;world war ii;fort;allied;army;keith mallory,NR,158,1961,English,74.0,$6000000.00,$28900000.00,,,,
Master and Commander: The Far Side of the World,Russell Crowe;Paul Bettany;James D'Arcy;Billy Boyd;Joseph Morgan,Peter Weir,Peter Weir;Patrick O'Brian;John Collee,Adventure,navy;napoleonic wars;naturalist;frigate;self surgery;sea battle;weevil;19th century;galapagos islands,PG-13,138,2003,English,69.0,$150000000.00,$212011111.00,,,,
Take Shelter,Michael Shannon;Jessica Chastain;Katy Mixon;Shea Whigham;Ray McKinnon,Jeff Nichols,Jeff Nichols,Thriller;Drama,ohio;shelter;end of the world;sanity;apocalypse;deaf;construction worker;visions,R,120,2011,English,71.0,$5000000.00,$3099314.00,,,,
All the Boys Love Mandy Lane,Amber Heard;Anson Mount;Michael Welch;Whitney Able;Edwin Hodge,Jonathan Levine,Jacob Forman,Horror;Mystery;Thriller,suicide attempt;gun;texas;mass murder;farm worker;planned murder;beauty;dying and death;fraud;plan;surprise;farm;victim of murder;conspiracy of murder;high school;murder;youth;beautiful girl;female corpse,not available,90,2008,English,56.0,$750000.00,-,,,,
The Imaginarium of Doctor Parnassus,Christopher Plummer;Heath Ledger;Johnny Depp;Jude Law;Colin Farrell,Terry Gilliam,Terry Gilliam;Charles McKeown,Adventure;Fantasy;Mystery,circus;immortality;elderly;aftercreditsstinger;duringcreditsstinger,PG-13,123,2009,English,63.0,$30000000.00,$64352607.00,,,,
Bringing Up Baby,Katharine Hepburn;Cary Grant;Charles Ruggles;Walter Catlett;Barry Fitzgerald,Howard Hawks,Hagar Wilde;Dudley Nichols,Comedy;Romance,prison;donation;zoo;museum;paleontologist;leopard;bone;screwball comedy,NR,102,1938,English,75.0,$1073000.00,-,,,,
Dead End,Ray Wise;Lin Shaye;Mick Cain;Alexandra Holden;Billy Asher,Jean-Baptiste Andrea;Fabrice Canepa,Jean-Baptiste Andrea;Fabrice Canepa,Mystery;Horror;Thriller,baby;secret;drive;nudity;cabin;night;victim;survivor;forest;grandparents;mystery;pregnant;invisible;family;celebration;car;madness;destination;unfaithful,R,85,2003,English,65.0,-,-,,,,
Sing Street,Ferdia Walsh-Peelo;Lucy Boynton;Maria Doyle Kennedy;Aidan Gillen;Jack Reynor,John Carney,John Carney,Comedy;Romance;Drama;Music,london england;sibling relationship;video;dublin;music video;music;friendship;prom;school;singing;ireland;divorce;family;teenage boy;band;music band;bullied;1980s,not available,106,2016,English,80.0,$4000000.00,$13624522.00,,,,
Child's Play 2,Alex Vincent;Jenny Agutter;Gerrit Graham;Christine Elise;Brad Dourif,John Lafia,Don Mancini,Drama;Horror,faithlessness;puppet;killer toys;toy comes to life,R,84,1990,English,58.0,$13000000.00,$35763605.00,,,,
Jonah Hex,Josh Brolin;John Malkovich;Megan Fox;Michael Fassbender;Will Arnett,Jimmy Hayward,Mark Neveldine;Mark Neveldine;Brian Taylor;Brian Taylor;William Farmer,Action;Western;Drama;Fantasy;Thriller,gunslinger;usa;dc comics;hell;facial scar;death;confederate;tomahawk,PG-13,80,2010,English,44.0,$47000000.00,$10539000.00,,,,
Hook,Robin Williams;Dustin Hoffman;Julia Roberts;Bob Hoskins;Maggie Smith,Steven Spielberg,Malia Scotch Marmo;J.M. Barrie;James V. Hart;Nick Castle,Adventure;Fantasy;Comedy;Family,flying;swordplay;sword;fantasy;fairy tale;peter pan;daughter;rescue,PG,142,1991,English,67.0,$70000000.00,$300854823.00,,,,
Criminal,Kevin Costner;Gary Oldman;Tommy Lee Jones;Ryan Reynolds;Jordi Mollà,Ariel Vromen,Douglas Cook;David Weisberg,Action,cia;memory;convict;implant,R,113,2016,English,59.0,$31500000.00,$14708696.00,,,,
R.I.P.D.,Jeff Bridges;Ryan Reynolds;Kevin Bacon;Stephanie Szostak;Mary-Louise Parker,Robert Schwentke,Matt Manfredi;Matt Manfredi;Phil Hay;Phil Hay;Peter M. Lenkov;David Dobkin,Fantasy;Action;Comedy;Crime,detective;gold;wife;police operation;investigation;partner;love;revenge;undead;crime;death;husband;ghost;police department,PG-13,96,2013,English,54.0,$130000000.00,$61648500.00,,,,
Mr. Brooks,Kevin Costner;Demi Moore;Dane Cook;William Hurt;Marg Helgenberger,Bruce A. Evans,Bruce A. Evans;Raynold Gideon,Drama;Crime;Mystery;Thriller,,R,120,2007,English,68.0,$20000000.00,$41637263.00,,,,
Rumble Fish,Matt Dillon;Mickey Rourke;Diane Lane;Dennis Hopper;Diana Scarwid,Francis Ford Coppola,S.E. Hinton;S.E. Hinton;Francis Ford Coppola,Action;Crime;Drama,street gang;billard;gang;thug,R,94,1983,English,69.0,$10000000.00,$2494480.00,,,,
Paul,Seth Rogen;Simon Pegg;Nick Frost;Jason Bateman;Kristen Wiig,Greg Mottola,Nick Frost;Simon Pegg,Adventure;Comedy;Science Fiction,san diego;alien;area 51;alien space craft;duringcreditsstinger;1980s,R,104,2011,English,64.0,$40000000.00,$97552050.00,,,,
Gone,Amanda Seyfried;Daniel Sunjata;Jennifer Carpenter;Sebastian Stan;Wes Bentley,Heitor Dhalia,Allison Burnett,Drama;Thriller,sibling relationship;waitress;kidnapping;police investigation;reference to justin bieber,PG-13,94,2012,English,60.0,-,$18100189.00,,,,
Key Largo,Humphrey Bogart;Lauren Bacall;Lionel Barrymore;Edward G. Robinson;Claire Trevor,John Huston,John Huston;Richard Brooks,Crime;Drama;Thriller,hotel;florida;war veteran;hurricane;gangster;florida keys;widow;alcoholic;humiliation;death;intimidation;charter boat;nightclub singer;wheelchair bound;henchmen;film noir;moll;law officer;local indians,not available,100,1948,English,76.0,-,-,,,,
Rock Star,Mark Wahlberg;Jennifer Aniston;Dominic West;Jason Bonham;Jeff Pilson,Stephen Herek,John Stockwell,Music;Drama;Comedy,rock star;success;discontentedness and displeasedness;heavy metal;relationship problems,R,105,2001,English,60.0,$57000000.00,$16991902.00,,,,
Barbie as The Princess & the Pauper,Kelly Sheridan;Roger Monk;Garry Chalk;Janyse Jaud;Pam Hyatt,William Lau,,Animation;Family;Comedy,musical,G,85,2004,English,70.0,-,-,,,,
Adventures in Babysitting,Elisabeth Shue;Maia Brewton;Keith Coogan;Anthony Rapp;Calvin Levels,Chris Columbus,David Simkins,Thriller;Comedy;Crime;Adventure,babysitter;blues;adventure;unfaithful boyfriend;misadventure;one night;playboy magazine;suburbanite;chop shop;homeless man;stitches; expressway;frat party;criminal gang;held hostage;auto theft;norse mythology,PG-13,102,1987,English,66.0,-,$34368475.00,,,,
Those Happy Days,Jean-Paul Rouve;Marilou Berry;Omar Sy;Lannick Gautry;Julie Fournier,Olivier Nakache;Eric Toledano,Olivier Nakache;Eric Toledano,Comedy;Family,,U,103,2006,English,74.0,-,-,,,,
The Dream Team,José Garcia;Jean-Pierre Marielle;Franck Dubosc;Gad Elmaleh;JoeyStarr,Olivier Dahan,Marc de Chauveron;Philippe de Chauveron,Drama;Comedy;Romance,,not available,97,2012,French,50.0,-,-,,,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,Skandar Keynes;Georgie Henley;Simon Pegg;Gary Sweet;Arthur Angel,Michael Apted,Michael Petroni;Stephen McFeely;Christopher Markus;C. S. Lewis,Adventure;Family;Fantasy,based on novel;magic;good vs evil;talking animal;dragon;king;narnia;fantasy world;snowing;sea voyage;quest;turned into animal,PG,113,2010,English,62.0,$155000000.00,$415686217.00,,,,
Curse of Chucky,Brad Dourif;Brennan Elliott;A Martinez;Danielle Bisutti;Fiona Dourif,Don Mancini,Don Mancini,Horror;Thriller,wheelchair;horror;killer doll;escape;doll;toy comes to life;chucky,R,97,2013,English,56.0,$5000000.00,-,,,,
The Loved Ones,Xavier Samuel;Jessica McNamee;Robin McLeavy;Victoria Thaine;John Brumpton,Sean Byrne,Sean Byrne,Horror,killing;high school;female killer;revenge;prom;escape;teenager,R,84,2009,English,66.0,-,-,,,,
Tommy Boy,Chris Farley;David Spade;Brian Dennehy;Bo Derek;Julie Warner,Peter Segal,Terry Turner;Bonnie Turner,Comedy,,PG-13,97,1995,English,67.0,-,$32648673.00,,,,
Commando,Arnold Schwarzenegger;Rae Dawn Chong;Dan Hedaya;Vernon Wells;James Olson,Mark L. Lester,Steven E. de Souza;Steven E. de Souza;Matthew Weisman;Jeph Loeb,Action;Adventure;Thriller,kidnapping;lone wolf;daughter;father;rescue mission,R,90,1985,English,64.0,$10000000.00,$57500000.00,,,,
Glengarry Glen Ross,Al Pacino;Jack Lemmon;Alec Baldwin;Alan Arkin;Ed Harris,James Foley,David Mamet,Crime;Drama;Mystery,robbery;office;shop;estate agent;company;contest;cowardliness;cult film;real estate;pressure;neo-noir,R,100,1992,English,74.0,$12500000.00,$10725228.00,,,,
Les Misérables,Liam Neeson;Geoffrey Rush;Uma Thurman;Claire Danes;Hans Matheson,Bille August,Victor Hugo;Rafael Yglesias,Crime;Drama;History;Romance,falsely accused;prisoner;blackmail;french revolution;motherly love,PG-13,134,1998,English,72.0,-,$14096321.00,,,,
Crimes and Misdemeanors,Woody Allen;Martin Landau;Anjelica Huston;Joanna Gleason;Alan Alda,Woody Allen,Woody Allen,Comedy;Drama,new york;adultery;assassin;professor;brother-in-law;murder;mistress;doctor;hired killer;documentary filmmaking,PG-13,104,1989,English,75.0,$19000000.00,$18254702.00,,,,
The Game,Michael Douglas;Sean Penn;Deborah Kara Unger;James Rebhorn;Spike Jonze,David Fincher,Michael Ferris;John D. Brancato,Drama;Thriller;Mystery,sibling relationship;birthday;danger of life;birthday party;surprising,R,129,1997,English,75.0,$50000000.00,$109423648.00,,,,
Sabotage,Arnold Schwarzenegger;Sam Worthington;Mireille Enos;Joe Manganiello;Harold Perrineau,David Ayer,David Ayer;Skip Woods,Action;Drama;Thriller;Crime,mexico;hostage;atlanta;strip club;drug cartel;crime scene;police corruption;brutality;drug;drug addict;swat team;bribe;dea,R,110,2014,English,55.0,$35000000.00,$17508518.00,,,,
Delicacy,Audrey Tautou;François Damiens;Bruno Todeschini;Mélanie Bernier;Joséphine de Meaux,David Foenkinos;Stéphane Foenkinos,David Foenkinos,Drama;Comedy;Romance,france;love;fate;cafe;swedish;pez dispenser;office romance,PG-13,108,2011,French,65.0,-,$9696204.00,,,,
Valerian and the City of a Thousand Planets,Dane DeHaan;Cara Delevingne;Clive Owen;Rihanna;Ethan Hawke,Luc Besson,Luc Besson,Adventure;Science Fiction;Action,shapeshifting;future;utopia;space travel;diversity;based on comic;alien;alien planet;independent film;energy;alien abduction;genocide;parallel world;political intrigue ;pacifist;space opera;military;government agent;marketplace;trapped in space;federal government;unity;cosmopolis,PG-13,136,2017,English,66.0,$197471676.00,$225164110.00,,,,
Better Watch Out,Olivia DeJonge;Levi Miller;Ed Oxenbould;Aleks Mikic;Dacre Montgomery,Chris Peckover,Zack Kahn;Zack Kahn;Chris Peckover,Horror;Thriller,spider;murder;snowman;snow;home invasion;truth or dare;christmas lights;holiday horror;christmas horror;christmas;australian horror;twist ending,R,89,2017,English,66.0,-,-,,,,
A United Kingdom,David Oyelowo;Rosamund Pike;Tom Felton;Jack Davenport;Terry Pheto,Amma Asante,Guy Hibbert,Drama;History,africa;based on novel;biography;marriage;botswana;based on true story;interracial marriage;king;woman director,PG-13,111,2016,English,67.0,$14000000.00,$13819139.00,,,,
Marie Antoinette,Kirsten Dunst;Jason Schwartzman;Judy Davis;Rip Torn;Rose Byrne,Sofia Coppola,Sofia Coppola,Drama;History,marie antoinette;shoe;rite;theatre audience;king louis xvi;bride and groom;death of king;applause;woman director,PG-13,123,2006,English,65.0,$40000000.00,$60474340.00,,,,
Get on Up,Chadwick Boseman;Nelsan Ellis;Dan Aykroyd;Viola Davis;Lennie James,Tate Taylor,John-Henry Butterworth;Steven Baigelman;Jez Butterworth,Drama;Music,1970s;biography;african american;james brown;1980s;1950s,PG-13,139,2014,English,65.0,-,$31911598.00,,,,
Danny Collins,Al Pacino;Annette Bening;Jennifer Garner;Bobby Cannavale;Christopher Plummer,Dan Fogelman,Dan Fogelman,Comedy;Drama;Music,rock star;middle age,R,107,2015,English,66.0,$10000000.00,$10835752.00,,,,
The Conspirator,Evan Rachel Wood;James McAvoy;Kevin Kline;Robin Wright;Alexis Bledel,Robert Redford,James D. Solomon;James D. Solomon;Gregory Bernstein;Gregory Bernstein,Crime;Drama;History,president;history;conspiracy;lawyer;trial;boarding house;military tribunal;historical;union;private club,PG-13,122,2010,English,63.0,$25000000.00,$15478800.00,,,,
Wild,Reese Witherspoon;Laura Dern;Thomas Sadoski;Keene McRae;Michiel Huisman,Jean-Marc Vallée,Nick Hornby,Drama,wilderness;adventure;biography;hiking;based on true story;memory;based on memoir or autobiography;divorcee;traveller;llama;1990s,R,115,2014,English,70.0,$15000000.00,$52501541.00,,,,
Jupiter Ascending,Mila Kunis;Channing Tatum;Sean Bean;Eddie Redmayne;Douglas Booth,Lana Wachowski;Lilly Wachowski,Lana Wachowski;Lilly Wachowski,Science Fiction;Fantasy;Action;Adventure,jupiter;space;woman director;3d;interspecies romance,PG-13,124,2015,English,52.0,$176000003.00,$183987723.00,,,,
The Dictator,Sacha Baron Cohen;Anna Faris;Ben Kingsley;Jason Mantzoukas;John C. Reilly,Larry Charles,David Mandel;Alec Berg;Jeff Schaffer;Sacha Baron Cohen,Comedy,dictator;kurdish,R,83,2012,English,59.0,$65000000.00,$179379533.00,,,,
Picnic at Hanging Rock,Rachel Roberts;Dominic Guard;Helen Morse;Jacki Weaver;Vivean Gray,Peter Weir,Clifford Green;Joan Lindsay,Drama;Mystery;Thriller,trip;australia;orphanage;girls' boarding school;hanging rock;based on true story;suspense;thriller;cult film,PG,115,1975,English,72.0,-,-,,,,
London Has Fallen,Gerard Butler;Aaron Eckhart;Morgan Freeman;Angela Bassett;Melissa Leo,Babak Najafi,Creighton Rothenberger;Creighton Rothenberger;Katrin Benedikt;Katrin Benedikt;Chad St. John;Christian Gudegast,Action;Crime;Thriller,london england;terrorist;terrorist attack,R,99,2016,English,58.0,$60000000.00,$205754447.00,,,,
Ri¢hie Ri¢h,Macaulay Culkin;John Larroquette;Edward Herrmann;Christine Ebersole;Michael Maccarone,Donald Petrie,Jim Jennewein;Tom S. Parker,Comedy;Family,family;life raft;private airplane;toothbrush;gluttony;magnifying glass;rubber boat,PG,95,1994,English,54.0,$40000000.00,-,,,,
Fifty Shades of Grey,Dakota Johnson;Jamie Dornan;Jennifer Ehle;Eloise Mumford;Victor Rasuk,Sam Taylor-Johnson,Kelly Marcel;E.L. James,Drama;Romance;Thriller,usa;based on novel;perversion;spanking;billionaire;rich;bdsm;woman director,R,125,2015,English,53.0,$40000000.00,$571006128.00,,,,
Brick Mansions,Paul Walker;David Belle;RZA;Robert Maillet;Carlo Rota,Camille Delamarre,Robert Mark Kamen;Luc Besson,Action;Crime;Drama,martial arts;atomic bomb;ghetto;gangster;parkour;cops;sequel;undercover cop;violence;fighting;hand to hand combat,PG-13,90,2014,English,58.0,$28000000.00,$68896829.00,,,,
Superman: Doomsday,Adam Baldwin;Anne Heche;James Marsters;John DiMaggio;Swoosie Kurtz,Bruce Timm;Lauren Montgomery,Bruce Timm;Duane Capizzi,Action;Animation;Science Fiction,dc comics;superhero;based on comic;super power;death;doomsday;superhuman strength;woman director,PG-13,75,2007,English,66.0,$3500000.00,-,,,,
True Crime,Clint Eastwood;Isaiah Washington;Lisa Gay Hamilton;James Woods;Denis Leary,Clint Eastwood,Stephen Schiff;Paul Brickman;Andrew Klavan;Larry Gross,Crime;Drama,journalist;death penalty;death row;doomed man;ambition;recovering alcoholic,R,127,1999,English,64.0,-,-,,,,
Underworld: Blood Wars,Kate Beckinsale;Theo James;Tobias Menzies;Lara Pulver;Bradley James,Anna Foerster,Cory Goodman;Cory Goodman;Kyle Ward,Action;Fantasy;Horror,martial arts;sword;vampire;ambition;war;sequel;betrayal;werewolf;gothic;uzi;woman director;urban gothic,R,91,2016,English,53.0,$35000000.00,$81093313.00,,,,
